Grid_ID,Latitude,Longitude
1311_7767,13.119379,77.679056
1311_7768,13.1124045,77.68569395
1311_7771,13.119379,77.715868
1312_7761,13.12266436,77.61474978
1312_7763,13.12616345,77.63516459
1312_7764,13.12530167,77.645959
1312_7766,13.12944451,77.66087846
1312_7768,13.124813,77.68413925
1312_7769,13.122598,77.69099
1313_7763,13.1321,77.636328
1313_7766,13.13294653,77.66731412
1313_7769,13.13454567,77.69407433
1313_7771,13.134664,77.718705
1313_7772,13.134664,77.721196
1314_7764,13.14251067,77.64225733
1314_7765,13.1465697,77.6586529
1314_7767,13.14144133,77.67155667
1314_7768,13.1478755,77.68769348
1314_7770,13.144373,77.705713
1315_7766,13.15100575,77.669068
1315_7767,13.150802,77.675076
1315_7769,13.1573222,77.6964715
1315_7770,13.155386,77.70277
1315_7771,13.15395025,77.7168355
1315_7772,13.153035,77.72510467
1316_7766,13.167362,77.669387
1316_7767,13.166439,77.67940467
1316_7768,13.166544,77.680364
1316_7771,13.162713,77.715406
1316_7772,13.1622502,77.7239238
1317_7768,13.17488,77.68198
1317_7769,13.17245911,77.690896
1317_7770,13.17914,77.70801
1317_7772,13.17914,77.723379
1318_7726,13.183426,77.26392
1318_7768,13.1827855,77.6815655
1318_7769,13.18287288,77.69515738
1318_7770,13.1838305,77.704075
1301_7737,13.0128356,77.37414017
1446_7616,13.0439,77.6412
7763_1305,13.0472,77.6249
1226_7750,12.9432,77.5516
1226_7771,12.9324,77.5735
1227_7750,12.9432,77.5516
1228_7661,12.9432,77.5516
1228_7662,12.9248,77.5558
1228_7750,12.9186,77.5728
1228_7752,12.9432,77.5516
1230_7660,12.9248,77.5558
1233_7750,12.9248,77.5558
1254_7795,12.9186,77.5728
1261_7756,12.9235,77.5658
1267_7725,12.9235,77.5658
1281_7766,12.9235,77.5658
1287_7750,12.9186,77.5728
1290_7795,12.9432,77.5516
1291_1291,12.9258,77.5558
1291_762,12.9235,77.5658
1292_7795,12.9324,77.5735
1293_7796,12.937669,77.954768
1297_7795,12.9432,77.5516
1299_7795,12.937669,77.954768
1354_7636,12.9719,77.594
2773_8533,12.9217,77.5824
7752_1290,12.9432,77.5286
1229_7757,12.8978,77.5736
1291_7755,12.9158,77.5568
1300_7763,13.00732888,77.63348931
1300_7764,12.9972,77.6455
1301_7738,13.0051,77.382431
1301_7764,13.0115,77.6372
1303_7737,13.0051,77.37502968
1311_7765,13.114257,77.653767
1312_7765,13.0051,77.65402633
1314_7712,13.0115,77.6372
1325_7763,13.255665,77.636455
1325_7765,13.0051,77.65681056
1326_7765,13.0051,77.65490833
1341_7741,13.0192,77.6632
1341_7765,12.9135,77.6179
1349_7738,13.0192,77.6632
1466_7759,13.0115,77.6372
2231_6845,13.0051,77.6287
675_9708,13.0051,77.6287
7762_1301,13.0051,77.6287
7763_1300,12.9972,77.6455
7763_1301,13.0051,77.6287
7763_1302,13.0115,77.6372
7764_1300,13.0185,77.6472
7764_1301,13.0069,77.6468
7765_1301,13.0158,77.6528
1255_7865,12.8908,77.6268
1265_7763,12.8908,77.6268
1289_7738,12.8908,77.6268
1292_7796,12.9069,77.6433
1296_7723,12.9021,77.6492
1304_7773,12.9069,77.6433
1309_7820,12.9021,77.6492
1337_7772,12.8898,77.6398
3863_9410,12.9069,77.6304
1232_7763,12.9375,77.5712
1235_7765,12.9428,77.5705
1256_1293,12.9428,77.5721
1256_7734,12.9448,77.5702
1256_7751,12.9918,77.5528
1256_7757,12.9406,77.5738
1258_7765,12.9478,77.5738
1263_7763,12.9478,77.5738
1268_7765,12.9678,77.5528
1275_7789,12.9428,77.5705
1276_7778,12.9406,77.5738
1278_7776,12.8908,77.5638
1278_7778,12.9406,77.5758
1278_7787,12.9448,77.5702
1278_7789,12.9688,77.5798
1285_7786,12.9406,77.5738
1285_7789,12.9375,77.5712
1286_7768,12.9428,77.5721
1286_7783,12.9678,77.5528
1286_7785,12.9678,77.5528
1286_7786,12.9698,77.5548
1286_7787,12.9406,77.5738
1286_7789,12.9448,77.5748
1286_7798,12.9688,77.5798
1287_7779,12.9488,77.5728
1287_7784,12.9428,77.5705
1287_7786,12.9406,77.5738
1287_7787,12.9406,77.5738
1287_7789,12.9411,77.5689
1287_7793,12.9442,77.5741
1289_7778,12.9428,77.5705
1289_7779,12.9375,77.5712
1289_7798,12.9488,77.5728
1291_7751,12.9448,77.5758
1292_7752,12.9406,77.5758
1293_7724,12.9488,77.5728
1293_7757,12.9428,77.57515327
1294_7789,12.9409,77.8949055
1295_7786,12.9419,77.5702
1297_7786,12.9406,77.5738
1298_7798,12.9428,77.5721
1393_7756,12.9293,77.5804
2356_6684,12.9428,77.5708
2425_7219,12.9442,77.5741
7756_1293,12.9428,77.5716
7756_1294,12.9448,77.5703
7757_1293,12.9268,77.5932
