Grid_ID,Latitude,Longitude
1254_7754,12.54618747142857,77.54580871428571
1254_7756,12.5453545,77.56456150000001
1254_7758,12.547558,77.58657249999999
1254_7759,12.5471885,77.595194525
1254_7765,12.54445,77.6556
1254_7789,12.548971,77.895421
1254_7792,12.549237866666667,77.92562042833333
1254_7795,12.54871,77.9547
1255_1748,12.555485,17.482567
1255_7728,12.552725,77.28467666666667
1255_7729,12.55259,77.2914525
1255_7730,12.554555,77.300265
1255_7732,12.554305555555555,77.323703
1255_7733,12.5531595,77.332246
1255_7734,12.553349714285714,77.34528714285715
1255_7735,12.553944125,77.351524875
1255_7736,12.557,77.3646
1255_7737,12.551741,77.37128233333333
1255_7738,12.555985,77.380395
1255_7740,12.55717,77.40911
1255_7741,12.554470048,77.412911576
1255_7742,12.55516,77.424116
1255_7743,12.552159,77.433493
1255_7744,12.55195875,77.442502725
1255_7745,12.55655,77.45655
1255_7746,12.55548488888889,77.468931
1255_7747,12.555205,77.47041999999999
1255_7749,12.555067000000001,77.4979385
1255_7751,12.55465,77.512424
1255_7752,12.555480666666666,77.52565033333333
1255_7753,12.5579815,77.53245425
1255_7758,12.55314,77.585581
1255_7760,12.555555,77.605329
1255_7762,12.555555,77.620564
1255_7763,12.55556,77.63362
1255_7767,12.55546,77.673108
1255_7865,12.559562,78.65894
1256_1293,12.567533,12.937981
1256_7704,12.5692,77.0442
1256_7712,12.5648798,77.1266547
1256_7723,12.569645,77.235689
1256_7725,12.564883587683333,77.25590520426667
1256_7728,12.562276666666667,77.284576
1256_7729,12.563248600000001,77.29267247272728
1256_7730,12.561138,77.304527
1256_7731,12.564740039999998,77.31279648
1256_7732,12.562278666666666,77.32247533333334
1256_7733,12.562160571428572,77.33279885714286
1256_7734,12.5635469,77.3421035
1256_7735,12.564935666666665,77.35614033333333
1256_7736,12.566303333333332,77.3659425
1256_7737,12.564603333333332,77.376479
1256_7738,12.56430116,77.38558450857143
1256_7739,12.564416177777778,77.39392045333334
1256_7740,12.564857,77.4050088
1256_7741,12.5645270825,77.415836765
1256_7742,12.5654582575,77.42295371
1256_7743,12.5647,77.436
1256_7744,12.562578,77.4443235
1256_7745,12.567345333333334,77.45454466666668
1256_7751,12.56713,77.51286838
1256_7753,12.561656768044367,77.53446067667802
1256_7754,12.5631785,77.54764399999999
1256_7756,12.568460714285715,77.56741185714284
1256_7757,12.567451,77.5786541
1256_7761,12.569451,77.61315225
1256_7763,12.566545,77.636545
1256_7765,12.566167499999999,77.65606975
1256_7768,12.565784,77.68954
1256_7769,12.569403000000001,77.69693699999999
1256_7783,12.568545,77.836528
1256_7786,12.569566,77.864596
1256_7793,12.562449583333333,77.93263070666667
1256_7795,12.564215,77.956524
1256_7798,12.567197,77.98819750000001
1257_1257,12.575401,12.575401
1257_739,12.57256356,7.39375696
1257_7434,12.573976,74.343956
1257_7728,12.570952,77.285952
1257_7729,12.572306000000001,77.29351755555555
1257_7730,12.57234711111111,77.30302244444445
1257_7731,12.572868069473683,77.31334449052632
1257_7732,12.574006204876543,77.32422668304937
1257_7733,12.574171917554585,77.3323360048035
1257_7734,12.572932550070922,77.34286882439716
1257_7735,12.573509,77.35172244444445
1257_7736,12.57521475,77.3644425
1257_7737,12.572364499999999,77.371487
1257_7738,12.573416510588237,77.3844064
1257_7739,12.572933554620407,77.39331002530612
1257_7740,12.573668362666666,77.40353157333334
1257_7741,12.57289458909091,77.41538383636363
1257_7742,12.574045897777777,77.42245832666667
1257_7743,12.571534,77.430859
1257_7744,12.572264,77.44145850000001
1257_7748,12.573056,77.484735
1257_7753,12.5742,77.5314
1257_7754,12.573755333333333,77.54613366666666
1257_7755,12.57168,77.55754
1257_7756,12.578964,77.568954
1257_7757,12.5756575625,77.57212303125
1257_7768,12.57034,77.68434
1257_7798,12.5789,77.9865
1258_7653,12.58429113551111,76.53418854395062
1258_7703,12.580824,77.0325006
1258_7705,12.582461,77.052651
1258_7723,12.587546,77.235456
1258_7724,12.586984,77.24685
1258_7725,12.582247500000001,77.256548
1258_7728,12.582765,77.284076
1258_7730,12.582896,77.301679
1258_7731,12.581281516129032,77.31291622580645
1258_7732,12.582639823529412,77.323374
1258_7733,12.580722580645162,77.33269003225807
1258_7734,12.583926631578947,77.34350914947369
1258_7735,12.584687,77.3519345
1258_7736,12.5865915,77.3644885
1258_7737,12.584912,77.37383
1258_7738,12.58295,77.38153
1258_7740,12.58166,77.40946
1258_7741,12.5881665,77.41553300000001
1258_7745,12.58516366,77.4565733
1258_7746,12.582123,77.4625
1258_7752,12.582416,77.525895
1258_7753,12.589426,77.535395
1258_7756,12.584370400000001,77.5648344
1258_7758,12.585365333333334,77.58352733333334
1258_7759,12.587280999999999,77.59616603333332
1258_7765,12.5868741,77.654351
1258_7775,12.58170004,77.75013
1258_7778,12.587896,77.785687
1258_7794,12.587845,77.948579
1258_7797,12.587965,77.978
1258_7798,12.586975,77.988579
1259_1734,12.593468,17.3499588
1259_7703,12.594807,77.033383
1259_7712,12.599072499999998,77.1254055
1259_7714,12.5978458,77.14598713
1259_7715,12.59874,77.1548794
1259_7721,12.590021,77.214853
1259_7726,12.598217566666667,77.2657403
1259_7728,12.59449075,77.28277
1259_7729,12.592405444444445,77.29430366666666
1259_7730,12.595606714285713,77.30255071428572
1259_7731,12.595282333333335,77.31332
1259_7732,12.594495714285713,77.32325
1259_7733,12.594038724137931,77.3325679
1259_7734,12.592205242857144,77.34400994285714
1259_7735,12.592928186440677,77.3533206440678
1259_7752,12.5934755,77.527354
1259_7753,12.592615,77.532865
1259_7754,12.59874,77.5487112
1259_7756,12.59864,77.5632
1259_7757,12.595292,77.572332
1259_7758,12.59845,77.58471
1259_7759,12.597480749999999,77.597356175
1259_7761,12.59215,77.61843
1259_7766,12.594366,77.665521
1259_7787,12.598741,77.874921
125_707,1.259374,7.07331348
125_771,1.2594166,7.7194394
125_773,1.2593871207407408,7.733185492592592
125_7735,1.25542695,77.354664
125_774,1.2572123,7.740344000000001
125_777,1.2592286,7.77331368
1260_7711,12.60777,77.11084
1260_7751,12.602514,77.514253
1260_7770,12.60694,77.703059
1261_7704,12.61267375,77.0409776
1261_7706,12.613643,77.0697
1261_7717,12.61732,77.17841
1261_7725,12.61713517,77.2514789
1261_7756,12.617611,77.564425
1261_7765,12.614897,77.651467
1262_7735,12.627736333333333,77.353558
1262_7756,12.624513,77.564325
1263_6931,12.6371732,69.31534397642439
1263_7649,12.635611,76.494696
1263_7712,12.636734745454545,77.12732596363637
1263_7713,12.630027,77.13067
1263_7736,12.6361825,77.3636045
1263_7755,12.636565,77.556856
1263_7763,12.638421,77.638421
1264_1264,12.645321,12.645321
1264_7625,12.645458,76.25746
1264_7736,12.645896,77.365941
1264_7755,12.640306,77.551048
1264_7761,12.644215,77.61542
1265_1265,12.6598747,12.65718941
1265_7712,12.65827305,77.1252997
1265_7713,12.654687,77.134356
1265_7715,12.65871,77.1547892
1265_7725,12.65819695,77.253809425
1265_7726,12.659874,77.2659711
